Turbine ID,RUL (hours),Status,Top Risk,Risk Probability (%),Operating Hours,Temperature,Vibration,Pressure,Flow,Power
TURB-000,136,NORMAL,bearing_degradation,36.35273507073363,3576,599.1,7.61,267.68,834.41,345.27
TURB-001,9,CRITICAL,seal_wear,78.41043372767338,3576,609.6927980775918,4.877257741638851,251.28,742.79,307.73
TURB-002,112,NORMAL,compressor_fouling,48.1811928285339,3576,599.59,4.1,283.77,829.18,304.12
TURB-003,59,NORMAL,hot_gas_path_degradation,39.16965050833463,3576,665.01,3.82,266.23,839.88,306.68
TURB-004,127,NORMAL,hot_gas_path_degradation,40.98381388056576,3576,654.86,3.86,268.85,823.79,304.25
TURB-005,31,WARNING,bearing_degradation,50.71583933483801,3576,606.2923305520478,7.6763207522875465,267.15,847.55,329.55
TURB-006,34,WARNING,compressor_fouling,58.26236483514108,3576,608.8752316479466,4.535533623467133,280.23,851.42,297.29
TURB-007,21,WARNING,compressor_fouling,50.61255521422075,3576,612.2622695498244,4.4446772849154685,280.03,844.68,302.81
TURB-008,20,CRITICAL,bearing_degradation,91.68610461992398,3576,621.5696129588572,8.912501680643029,266.8,843.35,328.8
TURB-009,92,NORMAL,bearing_degradation,49.559380552495924,3576,607.33,7.4,267.48,823.37,323.45
TURB-010,146,NORMAL,hot_gas_path_degradation,32.07343407469002,3576,666.65,4.26,265.56,855.03,308.65
TURB-011,10,CRITICAL,seal_wear,79.8280978634601,3576,615.2706092617633,5.130850901560551,245.55,738.74,321.23
TURB-012,18,CRITICAL,bearing_degradation,92.3953709729308,3576,608.5637882795813,8.347471153447424,267.44,842.96,333.29
TURB-013,5,CRITICAL,bearing_degradation,88.46288794894737,3576,619.7897306501914,8.726159206164409,267.61,827.46,335.81
TURB-014,51,NORMAL,bearing_degradation,29.382551877175406,3576,604.23,7.5,270.53,835.77,331.45
TURB-015,120,NORMAL,hot_gas_path_degradation,37.56650735339919,3576,670.02,3.9,270.81,827.34,309.84
TURB-016,96,NORMAL,compressor_fouling,33.87303182311142,3576,602.09,4.1,283.77,847.53,307.59
TURB-017,42,WARNING,bearing_degradation,51.99179282272052,3576,609.3787545995071,7.950190745838658,270.84,838.91,318.53
TURB-018,147,NORMAL,bearing_degradation,21.796879623871256,3576,596.19,7.65,266.6,845.49,329.36
TURB-019,1,CRITICAL,combustor_damage,79.88814920678666,3576,676.3439881025379,4.823823760272547,267.16,815.15,333.3
TURB-020,122,NORMAL,hot_gas_path_degradation,36.69110881278949,3576,666.33,4.06,270.41,825.0,312.05
TURB-021,61,NORMAL,seal_wear,31.03810986270257,3576,605.38,4.09,251.57,759.76,321.15
TURB-022,77,NORMAL,combustor_damage,34.97841993394614,3576,666.02,3.88,266.94,839.71,331.31
TURB-023,21,WARNING,compressor_fouling,72.31088944272223,3576,606.9609509723321,4.483029213485022,286.36,827.28,303.41
TURB-024,60,NORMAL,compressor_fouling,29.22404542060933,3576,599.83,3.92,282.18,829.78,302.48
TURB-025,126,NORMAL,bearing_degradation,31.06917071285031,3576,606.48,7.44,267.79,852.52,333.79
TURB-026,124,NORMAL,hot_gas_path_degradation,49.64333343421677,3576,655.73,3.86,267.93,839.09,315.15
TURB-027,22,WARNING,combustor_damage,64.90432189924144,3576,671.8058735881008,4.697263087860749,270.24,842.25,330.58
TURB-028,91,NORMAL,bearing_degradation,25.15876944560899,3576,594.6,7.74,266.47,832.89,323.87
TURB-029,120,NORMAL,hot_gas_path_degradation,25.951131822800644,3576,663.09,3.92,269.63,830.9,310.76
TURB-030,38,WARNING,bearing_degradation,69.87415922793903,3576,608.34359366818,8.013709223943144,269.04,836.55,331.02
TURB-031,106,NORMAL,hot_gas_path_degradation,22.10844161596791,3576,670.06,4.14,265.92,844.6,316.15
TURB-032,40,WARNING,hot_gas_path_degradation,51.80991626306441,3576,664.4192422613872,4.319184890964604,267.45,832.95,313.86
TURB-033,40,WARNING,combustor_damage,71.86544125893909,3576,679.072683411525,4.634091703249159,265.79,842.79,336.34
TURB-034,32,WARNING,bearing_degradation,68.66592190107491,3576,597.5027745980085,8.106217332547633,267.59,842.4,323.71
TURB-035,51,NORMAL,bearing_degradation,21.45444354253184,3576,603.42,7.12,272.25,836.72,330.06
TURB-036,120,NORMAL,seal_wear,42.5729991933741,3576,603.18,3.87,247.91,754.09,318.31
TURB-037,1,CRITICAL,hot_gas_path_degradation,93.84083852877315,3576,665.0072959401992,5.730589781688462,269.09,838.07,297.37
TURB-038,70,NORMAL,seal_wear,35.077621121631594,3576,593.61,4.03,248.89,744.33,313.07
TURB-039,80,NORMAL,compressor_fouling,31.865298243471262,3576,608.1,4.09,284.98,825.25,312.21
TURB-040,21,WARNING,hot_gas_path_degradation,74.92155763356774,3576,672.5555370487127,4.4203432966988085,272.96,851.91,311.23
TURB-041,45,WARNING,combustor_damage,60.631762193354874,3576,683.7065805868835,4.79900067484866,268.59,827.66,325.21
TURB-042,134,NORMAL,hot_gas_path_degradation,30.068092170487887,3576,652.21,4.12,266.09,822.57,312.09
TURB-043,89,NORMAL,seal_wear,28.745551492951726,3576,611.8,3.89,245.56,737.15,312.09
TURB-044,94,NORMAL,seal_wear,27.666891974216366,3576,607.57,4.21,245.09,736.03,313.82
TURB-045,93,NORMAL,seal_wear,20.889149840599202,3576,598.15,3.89,249.69,741.09,309.63
TURB-046,66,NORMAL,seal_wear,28.86562501454101,3576,605.9,3.99,247.54,744.89,313.76
TURB-047,71,NORMAL,compressor_fouling,41.41435556531527,3576,595.41,3.81,283.28,838.71,294.7
TURB-048,41,WARNING,combustor_damage,67.92793599412971,3576,671.4180681878104,4.464498518923084,264.69,847.04,335.95
TURB-049,71,NORMAL,seal_wear,30.2882447550837,3576,603.83,3.89,246.83,717.54,313.19
TURB-050,51,NORMAL,bearing_degradation,23.70708588596699,3576,602.78,7.56,269.31,825.42,328.16
TURB-051,13,CRITICAL,compressor_fouling,89.55038616782497,3576,612.4688023154702,4.891465253399467,276.63,845.86,295.89
TURB-052,88,NORMAL,combustor_damage,46.45522137220066,3576,676.62,4.0,271.08,844.19,332.41
TURB-053,17,CRITICAL,combustor_damage,81.51735853012525,3576,687.274840419645,4.449271597949963,267.68,827.21,335.55
TURB-054,10,CRITICAL,seal_wear,83.79733858103587,3576,608.1051053864321,5.081979839719499,250.1,749.17,312.73
TURB-055,131,NORMAL,combustor_damage,49.412384253120024,3576,672.88,4.19,265.46,820.17,317.62
TURB-056,59,NORMAL,seal_wear,47.436808121885974,3576,586.16,4.05,250.59,731.89,314.17
TURB-057,45,WARNING,seal_wear,55.186504129632205,3576,613.523261663981,4.2207055156937745,247.79,731.38,319.78
TURB-058,40,WARNING,combustor_damage,52.11375221333752,3576,674.5228366185693,4.266881235904546,270.0,842.91,321.04
TURB-059,140,NORMAL,hot_gas_path_degradation,36.273631035914036,3576,662.86,3.8,265.14,841.88,303.88
TURB-060,123,NORMAL,combustor_damage,36.3129662749852,3576,672.2,3.97,269.16,834.04,327.21
TURB-061,88,NORMAL,hot_gas_path_degradation,43.94099408089642,3576,664.72,3.73,267.9,850.0,309.01
TURB-062,95,NORMAL,hot_gas_path_degradation,47.311319918479626,3576,660.71,4.04,267.28,834.7,304.89
TURB-063,22,WARNING,compressor_fouling,74.2358875204748,3576,615.9806416086134,4.3252383760563795,283.44,839.29,307.88
TURB-064,31,WARNING,hot_gas_path_degradation,69.97133940237676,3576,655.5614430270197,4.539995714567074,268.64,835.69,305.12
TURB-065,12,CRITICAL,seal_wear,78.19902136351966,3576,623.9935661331717,5.01456660473,245.72,735.81,315.81
TURB-066,18,CRITICAL,combustor_damage,92.21663061494179,3576,678.6258900259272,4.756610876340227,267.15,843.67,329.22
TURB-067,49,WARNING,combustor_damage,58.35047515643264,3576,685.75693061839,4.6254428219340005,267.97,848.62,335.89
TURB-068,7,CRITICAL,bearing_degradation,85.43747817468552,3576,616.0076662195349,8.842841393199016,268.49,833.72,333.82
TURB-069,16,CRITICAL,seal_wear,93.86793151470262,3576,605.7606805890296,5.062518811482436,244.41,742.22,311.56
TURB-070,97,NORMAL,combustor_damage,33.29778976433377,3576,669.23,3.82,263.93,853.75,331.13
TURB-071,134,NORMAL,compressor_fouling,24.89310928660943,3576,592.25,4.13,284.76,827.91,301.27
TURB-072,57,NORMAL,combustor_damage,27.411422855921977,3576,675.21,4.17,268.71,842.1,323.05
TURB-073,57,NORMAL,combustor_damage,34.98979364645832,3576,668.38,4.07,266.54,833.53,316.4
TURB-074,80,NORMAL,combustor_damage,44.7091582105365,3576,675.93,3.89,269.33,842.13,325.33
TURB-075,140,NORMAL,seal_wear,48.90037995244998,3576,607.87,4.19,243.5,734.87,319.64
TURB-076,120,NORMAL,seal_wear,39.91897827699664,3576,591.66,3.87,250.57,720.9,301.25
TURB-077,48,WARNING,combustor_damage,61.98942005534893,3576,674.8689161199982,4.1204270967420396,266.39,845.25,329.06
TURB-078,43,WARNING,bearing_degradation,74.57878308238293,3576,605.4214305421309,7.591109594734129,267.17,842.69,326.39
TURB-079,36,WARNING,hot_gas_path_degradation,54.18350952955165,3576,672.1258414377285,4.476505563376505,263.94,839.32,310.15
TURB-080,144,NORMAL,combustor_damage,32.19818199923791,3576,669.98,3.9,268.78,851.29,328.29
TURB-081,149,NORMAL,hot_gas_path_degradation,25.072101159515956,3576,656.19,3.91,269.32,819.35,311.55
TURB-082,135,NORMAL,hot_gas_path_degradation,29.13824419156944,3576,670.65,4.03,266.24,841.06,311.74
TURB-083,92,NORMAL,hot_gas_path_degradation,25.329284610255158,3576,656.56,3.97,265.32,831.79,312.12
TURB-084,11,CRITICAL,compressor_fouling,90.80002678971042,3576,604.8578973476293,5.728478270958501,286.29,833.32,305.04
TURB-085,109,NORMAL,compressor_fouling,32.932598178099916,3576,598.96,3.99,283.83,835.68,308.18
TURB-086,28,WARNING,combustor_damage,59.81149635330843,3576,673.75319156926,4.315584664508008,267.93,824.29,333.77
TURB-087,55,NORMAL,hot_gas_path_degradation,24.595609993773262,3576,659.12,4.15,269.65,835.41,311.23
TURB-088,71,NORMAL,bearing_degradation,37.0065442618238,3576,603.56,7.39,268.63,843.12,329.63
TURB-089,77,NORMAL,seal_wear,23.359838603989427,3576,603.61,4.16,247.44,715.15,309.31
TURB-090,90,NORMAL,hot_gas_path_degradation,47.60325911914061,3576,665.0,4.01,267.81,847.88,311.86
TURB-091,109,NORMAL,compressor_fouling,46.225644792232735,3576,606.93,3.89,285.33,841.99,303.46
TURB-092,138,NORMAL,bearing_degradation,39.18368526572258,3576,603.42,7.66,268.8,851.83,326.01
TURB-093,67,NORMAL,combustor_damage,36.58627749631501,3576,672.27,3.89,269.28,851.0,337.26
TURB-094,95,NORMAL,combustor_damage,30.58753105384331,3576,667.15,4.2,269.38,827.03,328.6
TURB-095,7,CRITICAL,hot_gas_path_degradation,87.9133165284948,3576,654.7676948295601,5.2992826674844435,268.92,830.43,309.97
TURB-096,108,NORMAL,compressor_fouling,40.27892219020117,3576,600.14,4.24,283.13,843.27,294.59
TURB-097,18,CRITICAL,compressor_fouling,92.42454993999252,3576,614.7864250555488,5.1144266307618365,287.09,838.29,303.02
TURB-098,127,NORMAL,compressor_fouling,49.43475481149403,3576,597.11,3.69,283.53,836.33,300.03
TURB-099,49,WARNING,combustor_damage,53.40012301235137,3576,672.5998845167601,4.624846846781107,269.02,829.53,337.36
TURB-100,20,CRITICAL,seal_wear,76.37168488913038,3576,609.2797634840088,4.8448044158258465,245.17,749.71,310.57
TURB-101,62,NORMAL,bearing_degradation,46.613670667921596,3576,603.37,7.41,265.94,853.62,338.93
TURB-102,89,NORMAL,bearing_degradation,47.53277198116069,3576,606.21,7.37,270.84,826.73,332.41
TURB-103,110,NORMAL,hot_gas_path_degradation,22.789137688223637,3576,660.61,4.06,267.34,827.38,302.48
TURB-104,47,WARNING,combustor_damage,74.25814069933573,3576,678.4072528015383,4.276785246533579,262.66,856.32,336.71
TURB-105,67,NORMAL,combustor_damage,21.343952111159204,3576,666.48,3.64,266.86,837.42,337.77
TURB-106,38,WARNING,compressor_fouling,73.33190719277965,3576,611.1787369312574,4.77359399866331,283.08,844.06,306.01
TURB-107,38,WARNING,bearing_degradation,66.95827646372143,3576,602.6936968088519,8.00989684730125,266.7,816.36,326.62
TURB-108,72,NORMAL,combustor_damage,37.28464958213958,3576,677.28,3.81,265.87,841.76,320.69
TURB-109,122,NORMAL,compressor_fouling,39.77735141346279,3576,601.08,3.81,283.16,839.18,302.35
TURB-110,46,WARNING,seal_wear,56.07595345393577,3576,605.5124986785797,4.471253630561806,250.56,732.4,321.18
TURB-111,50,WARNING,compressor_fouling,55.5191779316658,3576,600.9310185385848,4.6179742286641465,284.35,836.05,301.7
TURB-112,94,NORMAL,bearing_degradation,40.576458185569564,3576,599.79,7.34,268.53,842.37,334.23
TURB-113,84,NORMAL,bearing_degradation,43.52040943521663,3576,603.29,7.7,269.99,828.19,329.84
TURB-114,21,WARNING,hot_gas_path_degradation,62.11050538207592,3576,670.7176334094538,4.3137943878337115,268.75,811.58,302.03
TURB-115,101,NORMAL,hot_gas_path_degradation,36.998668001558954,3576,659.45,4.1,266.68,824.38,316.07
TURB-116,123,NORMAL,combustor_damage,44.383285047533214,3576,681.81,4.0,267.36,845.41,322.2
TURB-117,87,NORMAL,combustor_damage,43.042297151709775,3576,672.37,3.84,268.27,840.61,330.85
TURB-118,37,WARNING,combustor_damage,55.468873175644525,3576,679.7389844925358,4.616530051023307,264.18,843.49,330.5
TURB-119,147,NORMAL,combustor_damage,45.483437651049016,3576,665.35,4.12,267.59,828.55,327.56
